Crop,Mandi,Distance_km,Region,Date,Price_Rs_per_quintal
Onion,Kopargaon,5,"Ahmednagar dist. (home mandi)",2026-07-15,1885.95
Onion,Kopargaon,5,"Ahmednagar dist. (home mandi)",2026-07-16,1869.16
Onion,Kopargaon,5,"Ahmednagar dist. (home mandi)",2026-07-17,1867.94
Onion,Kopargaon,5,"Ahmednagar dist. (home mandi)",2026-07-18,1872.23
Onion,Kopargaon,5,"Ahmednagar dist. (home mandi)",2026-07-19,1872.36
Onion,Kopargaon,5,"Ahmednagar dist. (home mandi)",2026-07-20,1853.79
Onion,Kopargaon,5,"Ahmednagar dist. (home mandi)",2026-07-21,1877.40
Onion,Kopargaon,5,"Ahmednagar dist. (home mandi)",2026-07-22,1866.37
Onion,Kopargaon,5,"Ahmednagar dist. (home mandi)",2026-07-23,1897.61
Onion,Kopargaon,5,"Ahmednagar dist. (home mandi)",2026-07-24,1898.30
Onion,Kopargaon,5,"Ahmednagar dist. (home mandi)",2026-07-25,1881.65
Onion,Kopargaon,5,"Ahmednagar dist. (home mandi)",2026-07-26,1877.79
Onion,Kopargaon,5,"Ahmednagar dist. (home mandi)",2026-07-27,1861.07
Onion,Kopargaon,5,"Ahmednagar dist. (home mandi)",2026-07-28,1883.53
Onion,Kopargaon,5,"Ahmednagar dist. (home mandi)",2026-07-29,1892.49
Onion,Kopargaon,5,"Ahmednagar dist. (home mandi)",2026-07-30,1892.14
Onion,Kopargaon,5,"Ahmednagar dist. (home mandi)",2026-07-31,1874.32
Onion,Kopargaon,5,"Ahmednagar dist. (home mandi)",2026-08-01,1862.03
Onion,Kopargaon,5,"Ahmednagar dist. (home mandi)",2026-08-02,1864.92
Onion,Kopargaon,5,"Ahmednagar dist. (home mandi)",2026-08-03,1874.73
Onion,Kopargaon,5,"Ahmednagar dist. (home mandi)",2026-08-04,1869.49
Onion,Kopargaon,5,"Ahmednagar dist. (home mandi)",2026-08-05,1887.85
Onion,Kopargaon,5,"Ahmednagar dist. (home mandi)",2026-08-06,1896.72
Onion,Kopargaon,5,"Ahmednagar dist. (home mandi)",2026-08-07,1923.47
Onion,Kopargaon,5,"Ahmednagar dist. (home mandi)",2026-08-08,1918.91
Onion,Kopargaon,5,"Ahmednagar dist. (home mandi)",2026-08-09,1906.21
Onion,Kopargaon,5,"Ahmednagar dist. (home mandi)",2026-08-10,1925.96
Onion,Kopargaon,5,"Ahmednagar dist. (home mandi)",2026-08-11,1929.68
Onion,Kopargaon,5,"Ahmednagar dist. (home mandi)",2026-08-12,1942.72
Onion,Kopargaon,5,"Ahmednagar dist. (home mandi)",2026-08-13,1954.00
Onion,Ahmednagar,48,"North Maharashtra",2026-07-15,1912.56
Onion,Ahmednagar,48,"North Maharashtra",2026-07-16,1924.69
Onion,Ahmednagar,48,"North Maharashtra",2026-07-17,1928.66
Onion,Ahmednagar,48,"North Maharashtra",2026-07-18,1960.75
Onion,Ahmednagar,48,"North Maharashtra",2026-07-19,1975.65
Onion,Ahmednagar,48,"North Maharashtra",2026-07-20,1990.63
Onion,Ahmednagar,48,"North Maharashtra",2026-07-21,2024.45
Onion,Ahmednagar,48,"North Maharashtra",2026-07-22,2020.15
Onion,Ahmednagar,48,"North Maharashtra",2026-07-23,2034.88
Onion,Ahmednagar,48,"North Maharashtra",2026-07-24,2036.48
Onion,Ahmednagar,48,"North Maharashtra",2026-07-25,2019.83
Onion,Ahmednagar,48,"North Maharashtra",2026-07-26,2038.46
Onion,Ahmednagar,48,"North Maharashtra",2026-07-27,2028.80
Onion,Ahmednagar,48,"North Maharashtra",2026-07-28,2054.71
Onion,Ahmednagar,48,"North Maharashtra",2026-07-29,2055.90
Onion,Ahmednagar,48,"North Maharashtra",2026-07-30,2083.22
Onion,Ahmednagar,48,"North Maharashtra",2026-07-31,2110.78
Onion,Ahmednagar,48,"North Maharashtra",2026-08-01,2111.05
Onion,Ahmednagar,48,"North Maharashtra",2026-08-02,2137.51
Onion,Ahmednagar,48,"North Maharashtra",2026-08-03,2126.50
Onion,Ahmednagar,48,"North Maharashtra",2026-08-04,2116.21
Onion,Ahmednagar,48,"North Maharashtra",2026-08-05,2120.10
Onion,Ahmednagar,48,"North Maharashtra",2026-08-06,2113.48
Onion,Ahmednagar,48,"North Maharashtra",2026-08-07,2112.64
Onion,Ahmednagar,48,"North Maharashtra",2026-08-08,2121.66
Onion,Ahmednagar,48,"North Maharashtra",2026-08-09,2140.31
